date,latitude,longitude,rainfall_1h,rainfall_3h,rainfall_24h,soil_moisture,temperature,humidity,elevation,slope,aspect,land_cover,historical_landslide_density,landslide
2023-01-01 00:00:00,27.80467,95.01651,21.78,76.96,317.5,74.31,22.46,70.15,351.52,43.5,208.12,Forest,0.3284,1
2023-01-01 12:00:00,25.29159,91.01296,14.74,24.35,144.12,66.24,26.1,89.01,1295.06,20.58,178.79,Forest,0.2694,0
2023-01-02 00:00:00,28.43948,96.45518,13.03,75.71,200.39,58.41,23.37,84.77,1188.77,41.02,245.82,Agriculture,0.2935,1
2023-01-02 12:00:00,27.23026,93.64139,10.27,21.55,43.38,51.43,22.05,62.61,1057.94,12.47,85.38,Agriculture,0.3174,0
2023-01-03 00:00:00,22.70633,89.19725,50.35,72.76,149.61,46.15,24.69,80.3,1384.96,12.03,22.94,Forest,0.2127,1
2023-01-03 12:00:00,29.31717,89.36533,30.59,41.94,213.22,76.22,20.79,78.91,1202.9,34.03,307.84,Forest,0.2096,1
2023-01-04 00:00:00,27.70855,94.58441,38.66,59.03,153.73,39.22,24.26,65.02,80.0,6.94,218.61,Agriculture,0.1424,1
2023-01-04 12:00:00,27.89548,89.64297,7.31,21.31,37.35,69.12,24.02,83.47,889.64,31.87,59.36,Forest,0.3707,1
2023-01-05 00:00:00,22.96085,92.81928,30.69,116.71,192.4,99.0,26.01,82.0,1376.32,26.22,107.3,Forest,0.4563,1
2023-01-05 12:00:00,25.37789,97.42186,2.36,37.71,151.65,87.99,19.9,78.38,2166.18,37.86,356.38,Agriculture,0.5536,1
2023-01-06 00:00:00,24.78099,88.03807,67.0,96.58,166.13,35.94,26.55,75.84,2196.2,24.29,228.39,Agriculture,0.6448,1
2023-01-06 12:00:00,28.95074,88.15751,44.69,136.32,170.9,52.63,18.47,76.37,213.95,25.67,229.0,Shrubland,0.2192,1
2023-01-07 00:00:00,26.82899,97.4343,27.31,115.76,251.44,69.71,20.14,73.34,872.68,31.11,25.98,Shrubland,0.1517,1
2023-01-07 12:00:00,28.17071,93.55407,1.84,33.4,86.27,56.82,20.36,79.8,82.03,17.05,348.84,Forest,0.5793,1
2023-01-08 00:00:00,25.32561,89.20564,12.44,65.33,166.66,31.5,17.64,67.56,2087.93,16.53,321.4,Forest,0.4914,1
2023-01-08 12:00:00,23.70429,96.52437,7.94,34.3,108.47,66.66,28.08,100.0,1758.36,30.69,197.2,Agriculture,0.4235,1
2023-01-09 00:00:00,26.15939,96.36361,26.14,65.85,117.09,60.94,18.15,58.32,1327.88,24.65,111.38,Agriculture,0.5558,1
